Quary,Answer
工业产品绿色设计示范企业的项目。,苏州市的支持政策发布时间是2023年4月23日。其政策名称是工信部第五批工业产品绿色设计示范企业推荐工作开始，其支持政策的类别是关于组织2022年苏州市市级打造先进制造业基地专项资金项目申报的通知其支持政策规定的申报方式是线上+线下其支持政策的具体内容是二、推荐要求（一）基本要求企业具有独立法人资格，符合国家和地方的法律法规及标准规范要求，近三年无以下情况：发生较大及以上重大生产安全和质量安全事故、Ⅲ级（较大）及以上突发环境污染事件，在国务院及有关部委相关督查工作中发现存在严重问题，被列入工业节能监察整改名单且未完成整改等。（二）综合水平企业拥有明确的绿色低碳发展战略和措施，建立完善的质量、环境、能源、职业健康安全等管理体系，各项管理制度健全，具有较强行业影响力和市场竞争力，经营管理状况较好。（三）绿色设计专项水平企业绿色设计实力强，具有夯实的绿色设计服务基础，研发和应用推广绿色设计与制造关键技术；产品符合绿色产品评价相关标准并积极推广绿色产品，或者具有较强的绿色设计资源整合和服务能力并为行业客户提供优质绿色服务；企业自身绿色发展水平较高，或者绿色服务实施效果和成效显著。三、动态管理要求请各县级市（区）工信部门加强对示范企业的跟踪指导和服务，跟踪掌握工作进展，组织示范企业每年填报工业产品绿色设计示范企业动态管理表，做好动态管理审核并及时上报。工业和信息化部将加强对示范企业名单的监督管理，完善名单动态管理机制，对各单位上报的动态管理表进行评估，对不再符合示范企业要求的单位从名单中予以除名。四、工作要求（一）各县级市（区）工信部门要认真筛选行业代表性强的龙头骨干企业或专业性强、特色鲜明、创新性高的中小企业，根据“绿色设计+制造”型企业和“绿色设计+服务”型企业分类，指导企业按照《工业产品绿色设计示范企业申报书》有关要求开展自评价和打分，编制申报书，并切实加强对申报企业自评价结果和证明材料的把关。被推荐企业自评价得分原则上不低于80分。（二）请各县级市（区）工信部门对照通知要求，认真做好申报组织及动态管理表填报工作，切实加强对申报企业申报材料和示范企业动态管理表的把关，并于6月1日前将本地区的推荐文件、工业产品绿色设计示范企业（第五批）推荐汇总表、第五批工业产品绿色设计示范企业申报书、工业产品绿色设计示范企业动态管理表等电子版材料通过工业节能与绿色发展管理平台报送苏州市工业和信息化局（节能与综合利用处）。
服务型制造示范的项目。,苏州市的支持政策发布时间是2023年6月7日。其政策名称是关于组织开展2023年度苏州市服务型制造示范遴选工作的通知，其支持政策的类别是关于组织2022年苏州市市级打造先进制造业基地专项资金项目申报的通知其支持政策规定的申报方式是线上+线下其支持政策的具体内容是一、遴选范围市级服务型制造示范遴选包括示范企业和示范平台两个类别。其中示范企业主要面向定制化服务、供应链管理、检验检测认证服务、全生命周期管理、总集成总承包、节能环保服务、生产性金融服务及其他服务型制造创新模式开展遴选；示范平台主要面向定制化服务、供应链管理、共享制造、检验检测认证服务、全生命周期管理、总集成总承包、节能环保服务、生产性金融服务及其他服务型制造创新模式开展遴选。示范企业申报主体为制造业企业。示范平台申报主体为从制造业企业衍生出的服务平台，或第三方专业服务平台，包括应用服务提供商。优先鼓励终端产品制造企业向服务型制造转化。优先鼓励有条件的行业标杆企业依托自身技术和管理优势，输出解决方案和管理经验，对外提供服务。优先鼓励大中型企业剥离软件开发、系统集成、信息服务等技术服务，成立独立法人实体，面向苏州市制造业企业提供专业服务。二、申报条件1.申报主体应在苏州市行政区域内注册满两年，具有独立法人资格，运营和财务状况良好，自2022年1月1日起未发生重大质量、环保或安全事故，没有违法行为或涉嫌违法正在接受审查的情况。2.申报主体符合“服务型制造重点领域说明”（附件1），并满足“苏州市服务型制造示范遴选申报条件”（附件2）。三、申报说明1.请申报主体按要求提供《苏州市服务型制造示范企业（平台）申报材料》等相关内容（附件3）。申报主体须对填报材料的真实性、准确性、完整性负责。2.请各县级市（区）工业和信息化主管部门负责申报材料汇总、审核，并填写《苏州市服务型制造示范企业（平台）推荐汇总表》（附件4）。各县级市（区）可推荐示范企业不超过5个，示范平台不超过3个。3.企业申报截止日期为2023年6月25日。各县级市（区）工信主管部门初审并行文截止时间为2023年6月30日。逾期不予受理。相关材料一式两份并报送至苏州市工信局技术创新处（联系人：徐文韬，68616275）。4.对于入选的市级服务型制造示范，我局将从中择优推荐申报国家级和省级服务型制造示范。无锡市的支持政策发布时间是2023年5月9日。其政策名称是《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》，其支持政策的具体内容是6.对列入省级及以上的服务型制造示范企业（平台），按照服务项目投入的10%给予奖励，最高100万元。
省级中小企业公共服务示范平台认定推荐的项目。,"苏州市的支持政策发布时间是2023年5月24日。其政策名称是关于转发省工信厅《关于开展2023年度省级中小企业公共服务示范平台认定推荐工作的通知》的通知，其支持政策的类别是关于组织2022年苏州市市级打造先进制造业基地专项资金项目申报的通知其支持政策规定的申报方式是线上+线下其支持政策的具体内容是一、申报单位必须是符合《省认定管理办法》规定，为中小企业提供信息、技术、创业、融资、培训等服务的独立法人。申报五星省级示范平台必须要达到资产500万、专职人员20人，申报四星省级示范平台必须要达到资产300万，专职人员15人。二、按照有效期3年要求，《关于公布2020年度省级中小企业公共服务示范平台认定名单的通知》（苏工信服建〔2021〕19号）中认定的平台，需要按《省认定办法》重新申报认定。但上述平台中，仍处于有效期的国家示范平台无需申报，可在国家示范平台有效期最后一年申报省示范平台认定。2021年、2022年认定的省级示范平台暂不需要申报。2023年处于国家示范平台有效期最后一年且省示范平台已经到期的平台，需重新申报认定。三、获得国家、省小型微型企业创业创新示范基地（简称“示范基地”）认定且非省级示范平台的单位，原则上不得新申报省级示范平台认定。省级示范平台申报实行纸质材料和网上同时申报，须提供完整的申报和推荐材料（详见省厅《通知》附件）。省属单位经主管部门在《省中小企业公共服务示范平台推荐表》（省厅《通知》附件2）审核盖章后，行文向省工信厅直接申报。四、请各地工信主管部门于2023年7月2日前将纸质申报材料（一式一份）和《推荐2023年度省中小企业公共服务平台汇总表》（省厅《通知》附件1）报送至市工信局企业服务处。申报单位须登录“江苏省中小企业公共服务平台”，在“认定申报”栏目中点击“示范平台认定申报”，注册登录后进行填报并上传相关材料，经各地工信主管部门审核后提交。申报单位可通过2023年省级认定申报咨询QQ群（群号1：807645478，群号2：207935293）进行咨询。网络技术咨询电话：025-52686656、83673201、13236591607省工信厅咨询电话：陈继勇025—69652793市工信局咨询电话：张 青0512-68616210徐州市的支持政策发布时间是2023年3月29日。其政策名称是关于开展2023年度徐州市中小企业公共服务示范平台认定的通知，其支持政策的具体内容是一、申报和推荐条件市级示范平台认定根据平台在建设水平、服务能力、服务绩效等方面情况进行综合评定，分一星、二星2个等级。原则上遵循逐级晋升原则，符合条件的可跨星申报。申报单位应根据自身实际情况合理选择申报相应星级。1、申报单位必须是符合《徐州市中小企业公共服务示范平台认定管理办法》规定，为中小企业提供信息、技术、创业、培训、融资等服务的独立法人。2、获得省小型微型企业创业创新示范基地认定且非市级示范平台的单位，原则上不再申报市级示范平台认定，今年申报且被认定为市级示范平台的单位原则上不再申报市级示范基地认定。（建议：示范平台适合具有开放性和资源共享特征、为全社会企业提供公共服务的单位申报；示范基地适合为中小微企业提供生产经营场所、主要围绕上述场所内引进企业提供公共服务的单位申报。）二、申报程序符合条件的单位可自愿申请，经县（市）区中小企业主管部门审核后向市工信局推荐。市属单位经主管单位在《市中小企业公共服务示范平台推荐表》审核盖章后，行文向市工信局直接申报。市工信局根据申报情况组织专家评审和实地抽查，按照择优原则确定市级示范平台。市级示范平台实施动态管理，有效期三年。不在有效期内的市级示范平台可再次申报。
扬州市的支持政策发布时间是2023年4月27日。其政策名称是关于开展2023年度市级中小企业公共服务示范平台认定工作的通知，其支持政策的具体内容是一、申报条件市级示范平台认定根据平台在建设水平、服务能力、服务绩效等方面情况进行综合评定，分一星、二星两个等级。市级示范平台原则上遵循逐级晋升原则，申报单位应根据自身实际情况合理选择申报相应星级。1.申报单位必须是符合《市认定办法》规定，为中小企业提供信息、技术、创业、融资、培训等服务的独立法人，在扬州注册且运营两年以上。2.有固定的经营服务场所和必要的服务设施、仪器设备等，资产总额不低于50万元。3.服务业绩突出，年服务中小企业50家以上（培训类平台服务企业不少于300家），用户满意度在85%以上。4.具有较强的专业服务能力，从事为中小企业服务的人员不少于6人，其中大专及以上学历、中级及以上技术职称的专业人员比例占80%以上。5.有健全的管理制度，规范的服务流程、合理的收费标准和完善的服务质量保证措施，对小微企业的服务要有相应的优惠条件，提供的公益性服务或低收费服务不少于总服务量的20%。6.具有较强的资源整合能力和服务辐射带动能力，集聚服务机构2家以上。7.按照有效期3年要求，2023年处于有效期最后一年的国家、省或市级示范平台需重新申报认定（详见附件）。8.获得国家、省、市小型微型企业创业创新示范基地（简称“示范基地”）认定，原则上不得新申报市级示范平台认定。二、申报程序1.平台申报：申报单位登录扬州市中小微企业公共服务平台——“易申报”系统，于4月27日至5月31日完成线上申报，过期不予受理。2.县（市、区）审核：各地工信部门从扬州市中小微企业公共服务平台用户登录界面——部门登录端进入“易申报”审核端口，于6月9日前完成辖区内示范平台申报材料审核。3.审查、评审与公示：市工信局对各地审核通过的单位进行材料审查、现场核查并组织专家评审，择优确定拟认定市级示范平台名单并公示，公示时间不少于5个工作日。市级示范平台实施动态管理，有效期三年，起止期为2024年1月1日—2026年12月31日。三、有关工作要求请各地工信部门于2023年6月9日前将2023年度市级中小企业公共服务示范平台推荐表（可在系统导出）盖章报送至市工信局服务体系建设处，并同步上传线上审核系统。联系人：曹天宇 联系电话：0514-82181720联系邮箱：819908671@qq.com技术支持：刘智慧18860926443、王志勇15952082870。"
2023年苏州市级智能工厂申报的项目。,苏州市的支持政策发布时间是2023年7月25日。其政策名称是关于转发省工信厅《关于开展2023年度省级中小企业公共服务示范平台认定推荐工作的通知》的通知，其支持政策的类别是关于组织2022年苏州市市级打造先进制造业基地专项资金项目申报的通知其支持政策规定的申报方式是三、申报方式1.请申报企业对照《苏州市智能制造典型场景指引》，填写《苏州市智能工厂项目申报书》（附件3，含承诺书），加盖企业有效公章后报所在县级市（区）工信部门。申报企业需对填报材料的真实性、准确性、完整性负责。2.请各县级市（区）工信部门积极组织企业开展申报，做好材料审核和现场初审工作，对经审核后符合条件的予以推荐上报，并填写《苏州市智能工厂项目汇总表》和《苏州市智能工厂推荐审核情况表》（附件4-5，需加盖推荐单位公章）。3.市工信局将在企业申报、县级市（区）审核上报的基础上，组织专家评审，择优遴选出一批基础条件好、示范性强的工厂认定为苏州市智能工厂，并依据《关于支持产业创新集群建设的若干政策（试行）》给予一定奖励。4.请各县级市（区）工信部门收集汇总企业申报材料，于8月18日前，将加盖有效公章的推荐行文、企业申报书、申报汇总表、盖章审核推荐表等纸质材料各一式两份报送至我局智能制造推进处，企业申报书扫描件、汇总表及审核推荐表电子版等材料同步发送至邮箱，过时不再受理。其支持政策的具体内容是一、支持重点围绕我市重点打造的产业创新集群，支持企业应用自主创新产品、技术、装备、软件等建设市级智能工厂，提升行业发展质量、效益和本质安全水平。二、申报条件1.申报企业为苏州市行政区域内注册、具有独立法人资格且正常经营1年及以上（截至2023年6月30日）的制造业企业，近三年经济效益较好、信用记录良好。2.申报企业近三年未发生重大、特大安全生产事故，未发生重大、特大环境事故，无违法违规行为。3.申报企业需具有良好的智能制造基础，2023年以来应通过智能制造数据资源公共服务平台开展智能制造能力成熟度自评估，需达到国家标准GB/T39116-2020《智能制造能力成熟度模型》三级及以上或满足相关行业智能制造指导性文件要求。4.申报项目备案（核准）、环评、能评、安评等手续完备（无需相关手续的需作出说明）。5申报工厂应在2023年6月30日前竣工并投产使用，且具有知识产权归属明确的核心技术。6申报工厂在2020年7月1日至2023年6月30日期间总投入不低于3000万元，其中，软件、系统集成、公私有云及网络等投入不低于200万元（需提供专项审计报告，并披露关联交易）。总投入为不含税额，包括智能制造设备、工具、器具等固定资产投资（不含土建投资和铺底流动资金），与项目相关的工业软件、系统集成、云资源及网络费用、咨询、设计、检测、评价等投入（除特别说明，下同）。7申报工厂应符合《苏州市智能工厂建设指南》（附件1）要求，使用的关键技术装备、工业软件须安全可控，具备5个及以上符合《苏州市智能制造典型场景指引》（附件2）要求的场景应用；8.每个申报企业限报1个工厂。已获得国家智能制造示范工厂揭榜单位（不含国家智能制造优秀场景）、省级智能制造示范工厂及市级智能工厂的企业不再参与申报。
智能制造示范工厂的项目。,"连云港市的支持政策发布时间是2022年2月28日。其政策名称是《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年），其支持政策的具体内容是对经认定的国家、省智能制造示范工厂分别给予最高200万元、100万元奖励。连云港市的支持政策发布时间是2022年6月15日。其政策名称是《关于组织申报助企纾困解难财政补贴资金工信类项目的通知》，其支持政策的具体内容是获得省智能制造示范车间、市智能制造示范车间的分别给予20万元、10万元奖励，从市级晋级为省级的，按差额奖励。南京市的支持政策发布时间是2022年9月30日。其政策名称是关于开展2023年江苏省智能制造示范工厂申报工作的通知，其支持政策的具体内容是1、申报企业具有良好的智能制造基础，通过智能制造数据资源公共服务平台开展智能制造能力成熟度自评估，达到国家标准《智能制造能力成熟度模型》（GB/T39116-2020）二级及以上。2、申报工厂应符合江苏省智能制造示范工厂项目建设要点（附件1），使用的关键技术装备、工业软件须安全可控。其支持政策的奖补情况是于2022年10月20日前将加盖有效公章的纸质版项目申报书（一式三份）、推荐审核情况表（附件3）、申报汇总表（附件4）以及推荐行文（一式两份）报送至市工业和信息化局信息化建设与发展处。
南京市的支持政策发布时间是2022年10月21日。其政策名称是关于2022年南京市工业和信息化发展专项资金项目申报的通知，其支持政策的具体内容是1、项目总投入须不低于500万元。2、项目备案（核准）、环评、能评等手续完备。3、项目在2022年6月30日（含）前已建成并正常投产使用，并在项目申报截止日期前由项目推荐单位完成验收工作（须由项目推荐单位出具验收意见）。4、同等条件下，智能制造示范车间项目优先支持列入2021年度江苏省省级智能制造示范车间名单的企业。其支持政策的奖补情况是项目申报采取网上申报方式进行，在南京市工业和信息化局官网或“宁企通”平台上，点击“南京市工业和信息化发展专项资金项目申报和监管平台”进入申报页面，在线填写项目申报表，并上传其他申报材料。网上申报受理时间为2022年10月25日至2022年11月10日，逾期不再受理申报。
宿迁市的支持政策发布时间是2021年、2022年。其政策名称是1、《关于2021年度支持苏北五市制造业智改数转资金项目遴选的通知》（苏工信综合〔2021〕609号）2、《关于2021年度省切块制造业智改数转资金项目申报的通知》宿工信发〔2022〕3号，其支持政策的具体内容是1、获批江苏省智能制造示范工厂2、有智能化改造/建设项目，项目已开工建设，项目备案（核准）、环评、能评、安评、规划、土地等手续完备3、2021年1月1日—2021年12月31日期间引进和购置先进智能设备的有效投入不低于1000万元4、按有效投入的10%予以补助。原则上单个项目补助标准最低金额不得低于100万元。
无锡市的支持政策发布时间是2023年6月26日。其政策名称是《转发省工业和信息化厅关于做好2023年省级智能制造示范车间申报工作的通知》，其支持政策的具体内容是现将省工业和信息化厅《关于做好2023年省级智能制造示范车间申报工作的通知》（苏工信投资〔2023〕241号）转发给你们，请按照通知要求，组织企业认真对照申报条件，按申报目标进行申报（见附件），并对申报材料严格审核把关后于7月14日（星期五）前，将请示文件、申报汇总表、审核情况表以及工业资源利用绩效评价结果（均盖章，一式一份），智能制造示范车间申请表、企业营业执照复印件和真实性承诺书（均盖章、胶装，一式三份），会同企业信用报告、工业企业工业控制系统信息安全承诺书（均盖章、一式一份），报送至市工业和信息化局智能制造推进处，所有申报材料电子文档一并上报。
扬州市的支持政策发布时间是2023年3月17日。其政策名称是《关于开展2023年度扬州市智能制造示范工厂申报工作的通知》，其支持政策的具体内容是对年智能制造设备、软件和技术服务投资额达到2000万元以上的项目，按照不高于投资额的13%给予补助，最高600万元。"
特色工业互联网平台的项目。,连云港市的支持政策发布时间是2022年2月28日。其政策名称是《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年），其支持政策的具体内容是对获国家认定的跨行业跨领域工业互联网平台、省级认定的工业互联网标杆工厂和工业电商平台分别给予最高200万元、80万元和60万元奖励。无锡市的支持政策发布时间是2022年3月30日。其政策名称是《无锡市加快智能化改造数字化转型绿色化提升若干政策措施》，其支持政策的具体内容是10.获得工信部工业互联网平台试点示范、省级重点工业互联网平台的企业给予最高100万元的一次性奖励。11.完成与国家顶级节点对接的二级节点的企业类建设单位择优给予最高200万元的一次性奖励。
两化融合管理体系贯标的项目。,"连云港市的支持政策发布时间是2022年2月28日。其政策名称是《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年），其支持政策的具体内容是对通过两化融合管理体系贯标评定的企业，按照评定分级，对5A级、4A级、3A级、2A级、A级分别给予最高60万元、50万元、40万元、20万元、10万元奖励。扬州市的支持政策发布时间是2022年2月24日，有效期3年。其政策名称是《关于加快推进制造业智能化改造和数字化转型的实施意见》，其支持政策的具体内容是通过国家两化融合管理体系贯标，取得2A级、3A级评定证书的企业，分别给予最高15万元、20万元的奖励。
扬州市的支持政策发布时间是2023年8月1日（更新时间：2023年8月1日）。其政策名称是《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》，其支持政策的具体内容是通过国家两化融合管理体系贯标，取得2级，3A级评定证书的企业，分别给予最高15万元、20万元奖励。"
省级工业互联网标杆工厂的项目。,连云港市的支持政策发布时间是2022年2月28日。其政策名称是《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年），其支持政策的具体内容是对获省级认定的工业互联网标杆工厂最高80万元奖励。宿迁市的支持政策发布时间是2021年、2022年。其政策名称是1、《关于2021年度支持苏北五市制造业智改数转资金项目遴选的通知》（苏工信综合〔2021〕609号）2、《关于2021年度省切块制造业智改数转资金项目申报的通知》宿工信发〔2022〕3号，其支持政策的具体内容是1、企业已获得国家或省工业互联网标杆工厂、省四星级及以上上云企业和通过两化融合管理体系贯标认定（证书状态为有效）等2、2021年项目总投入不低于1000万元（不含税），其中软件投入占比不低于10%3、按有效投入的10%予以补助。原则上单个项目补助标准最低金额不得低于100万元，最高不超过200万元。
省级、市级智能制造示范车间的项目。,连云港市的支持政策发布时间是2023年6月27日。其政策名称是《关于做好2023年省级、市级智能制造示范车间申报工作的通知》，其支持政策的具体内容是一、请各县（区）工信部门组织企业认真对照智能制造示范车间申报条件进行自我评价，填报《智能制造示范车间申请表》，原则上一家企业只能申报一个车间，已获得两个及以上省级智能制造示范车间（省级示范智能车间）的企业不得再次申报省级智能制造示范车间。企业应对申报材料的真实性负责，并出具真实性承诺书。二、企业申报材料：申请表、承诺书和营业执照复印件。三、请各县（区）工信部门严格对照申报条件，在做好申报组织工作的同时，对企业申报材料进行认真审核把关，并填报智能制造示范车间推荐审核情况表。四、请各县（区）工信部门行文推荐上报市工信局，并填报智能制造示范车间申报汇总表。于7月10日前将请示文件（附推荐审核情况表、申报汇总表）、企业申报材料报送至市工信局投资与技术改造处，电子文档请扎口汇总后发送至邮箱：85804826@163.com。五、省级、市级智能制造示范车间申报工作同步推进，市工信局将在县区推荐审核的基础上开展材料审核、现场核查，认定市级智能制造示范车间，并从中择优推荐申报省级智能制造示范车间。联系人：市工信局张曜晖，85806653，市财政局周勇，85521162。
专精特新的项目。,连云港市的支持政策发布时间是2022年6月15日。其政策名称是《关于组织申报助企纾困解难财政补贴资金工信类项目的通知》，其支持政策的具体内容是支持方向及奖补标准。对获得国家级制造业单项冠军企业（产品）或国家专精特新小巨人认定的，给予100万元奖励；获得省“小巨人”企业认定的，奖励50万元；获得省“专精特新”产品认定的，给予10万元/个的奖励；获得市级小巨人企业认定的，奖励20万元；获得市“专精特新”产品认定的，给予5万元/个的奖励。之前已兑付的部分不再重复兑付。南京市的支持政策发布时间是20230611。其政策名称是市政府办公厅关于加强“四上”企业培育工作的实施意见，其支持政策的具体内容是对认定为国家级制造业“单项冠军”企业奖励300万元，国家级专精特新“小巨人”企业奖励100万元，省级专精特新中小企业奖励50万元，其支持政策的奖补情况是三、征集程序（一）请各区（开发区）工业和信息化主管部门，组织本地区企业积极参与申报，做好工业软件优秀产品、首版次工业软件产品应用试点项目的审核把关、遴选推荐工作。（二）请各推荐单位填写工业软件优秀产品、首版次工业软件产品应用试点项目推荐表（附件1），申报企业填写《工业软件优秀产品申报书》（附件2）、《首版次工业软件产品应用试点项目申报书》（附件3），加盖公章后的申报书扫描件报推荐单位审查。推荐单位请于2023年5月19日前，将上述材料盖章后的扫描件发送至联系人邮箱。联系人：林卿联系电话：025-68788858电子邮箱：54286586@qq.com。
绿色工厂的项目。,连云港市的支持政策发布时间是2022年6月15日。其政策名称是《关于组织申报助企纾困解难财政补贴资金工信类项目的通知》，其支持政策的具体内容是（1）获得工信部认定的国家级绿色供应链，奖励100万元；（2）获得工信部认定的国家级绿色工厂，奖励80万元；（3）获得省工信厅认定的省级绿色工厂，奖励50万元；（4）获得市工信局认定的市级绿色工厂，奖励20万元；
软件类关键核心技术攻关项目的项目。,连云港市的支持政策发布时间是2023年3月31日。其政策名称是关于转发《关于组织2023年软件类关键核心技术攻关项目征集工作的通知》的通知，其支持政策的具体内容是省工信厅近期开展2023年软件类关键核心技术攻关项目征集工作，遴选一批具备自主核心技术基础、市场应用前景好、示范带头作用强的优质项目。请各县区工信部门按照通知要求，积极组织指导本地区项目实施单位报送软件类关键核心技术攻关项目征集信息表，于4月14日前将项目征集信息表电子版和纸质版材料报送市工信局信息产业处。南京市的支持政策发布时间是2023年3月29日。其政策名称是关于组织2023年软件类关键核心技术攻关项目征集工作的通知，其支持政策的具体内容是一、推荐依据。参照最新修订的《江苏省规划布局内重点软件企业评估规范》（T/JSIA0004-2022）、《江苏省专精特新软件企业评估规范》（T/JSIA0005-2022）（附件1）。其支持政策的奖补情况是一、报送条件(一)报送项目实施单位应同时符合以下基本条件：1.在南京市域内依法注册，具有独立的法人资格，注册资本不少于500万元，成立日期在2022年1月1日及以前。2.管理规范有序、财务制度健全、经营状态正常、诚信守法，近三年未发生重大(含)以上安全、环保、质量事故(事件)，无严重失信行为。(二)报送项目应同时符合以下基本条件：1.项目实施地点在我市境内，项目实施期原则上不超过3年，可在2025年底前完成攻关任务，且具备良好的产业化前景。2.目标产品属于工业软件产业链或信息技术应用创新产业链产品。其中工业软件类项目主要包括研发设计、生产制造、经营管理、运营维护、信息安全等覆盖制造业产品全生命周期的各类工业基础软件、支撑软件、应用软件、平台软件以及对我省先进制造业集群培育、智能化改造数字化转型有显著促进作用的其他创新型软件；信息技术应用创新类项目技术领域主要包括基于信息技术应用创新技术路线的基础软件、支撑软件、平台软件、安全软件、商用密码产品。3.申报单位对攻关产品或技术有较好的研发基础和人才支撑，有与攻关项目相关的自主知识产权，能够保障项目实施所需资金(项目研发投入不低于3000万元)。鼓励行业龙头企业与产业链上下游企业、研究机构联合开展攻关。(三)符合以下条件的项目优先报送：1、已获得或准备申请相关专利；2、已形成或正在制定相关标准。二、工作要求报送单位填写软件类关键核心技术攻关项目征集信息表(附件)，在信用承诺部分加盖公章，于4月10日前向市工信局提交征集信息表电子版和纸质版材料。
“i创杯”互联网创新创业大赛的项目。,连云港市的支持政策发布时间是2023年5月30日。其政策名称是关于转发《关于举办第八届“i创杯”互联网创新创业大赛的通知》的通知，其支持政策的具体内容是现将省工信厅《关于举办第八届“i创杯”互联网创新创业大赛的通知》转发给你们，此次大赛于5月26日开始报名，7月30日报名结束，请各县区工信部门根据通知要求，在本地区统筹组织安排大赛的宣传、发动和报名工作。各有关园区、单位要积极发挥优势，通过各自渠道加大对大赛的宣传力度，发动、推荐互联网创业团队和企业积极参赛，省级互联网众创园、大数据产业园至少各自推荐5个项目参赛。请将参赛项目情况及时反馈我处（推荐单位建议选择市工信局或省级相关园区），以便做好项目推荐和协调工作。联系人：信息产业处李广超联系方式：85825572电子邮箱：xxcyfz@163.com
5G全连接工厂的项目。,"南京市的支持政策发布时间是2022年9月20日。其政策名称是关于做好2022年度5G全连接工厂申报工作的通知，其支持政策的具体内容是1、申报项目应符合《5G全连接工厂建设指南》（附件1），使用的关键技术装备、工业软件须安全可控。2、申报项目须为已建成项目。已获得国家5G全连接工厂试点示范项目的，不再参与本次申报。，其支持政策的奖补情况是请各区（开发区）工信部门于2022年10月12日（周三）下班前将推荐项目的纸质版申报书、推荐项目汇总表（附件3）盖章后（一式两份）报至市工业和信息化局信息化建设与发展处，同步将电子版文档发送至指定邮箱。
徐州市的支持政策发布时间是2023年3月2日。其政策名称是关于转发省工信厅《关于加快推进5G全连接工厂建设的通知》的通知，其支持政策的具体内容是（一）强化组织、明确目标。至2023年底，各区域新签约5G融合应用项目数量不少于10个，开展5G全连接工厂建设企业数量不少于2个，经开区、铜山区、高新区新增省级5G全连接工厂数量各1个。（二）摸清底数、树立标杆。做好本地情况摸底，深度挖掘有条件、有意向开展5G全连接工厂建设的企业，结合本地产业结构情况，重点培育行业龙头企业、优势产业链链主企业开展5G全连接工厂建设，快速形成示范引领作用。（三）政策支持、宣传引导。充分发挥财政资金引导作用，鼓励各县(市)区对已建成的5G应用项目给予支持，本年度组织5G融合应用专项供需对接会等专题活动不少于1场，营造5G融合应用快速发展的良好氛围。（于3月10日前将2023年度5G全连接工厂项目清单电子版和盖章扫描件反馈至信息化发展处）。"
国家级服务型制造示范（包括示范企业、示范平台、示范项目）的项目。,南京市的支持政策发布时间是2022年3月1日。其政策名称是《推进企业创新促进产业高质量发展政策实施细则》无需企业申报，市工业和信息化局根据新认定的企业名单，经审查合格后，会同市财政局给予资金支持。，其支持政策的具体内容是对新认定的国家级服务型制造示范（包括示范企业、示范平台、示范项目）和国家级工业设计中心，给予最高100万元奖励。其支持政策的奖补情况是请各区（开发区）工信部门于2022年10月12日（周三）下班前将推荐项目的纸质版申报书、推荐项目汇总表（附件3）盖章后（一式两份）报至市工业和信息化局信息化建设与发展处，同步将电子版文档发送至指定邮箱。
专项资金的项目。,南京市的支持政策发布时间是2022年11月8日。其政策名称是关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知，其支持政策的具体内容是1、省申报通知明确，项目申报采取网上申报方式进行，申报单位在线填写申报表，并上传其他申报材料。推荐采用电子签名、签章，无法申请电子签名、签章的，应线下盖章后扫描上传至系统。2、各区（开发区）工信部门通过专项资金项目库管理系统审核本地区项目材料，未经审核通过的申报材料，市里不予受理。对审核通过的项目，由各区（开发区）工信部门会同财政部门联合行文上报（请示件纸质2份），并附申报系统自动生成的推荐项目汇总表（工信、财政加盖单位公章，2份），2022年11月18日前报送市工业和信息化局综合规划与投资处，并扫描上传系统，线上审核同步完成。11月24日前，市工业和信息化局各条线处室完成线上审核，推送到综合规划与投资处。3、企业网上申报开始时间为2022年10月24日，各区（开发区）初审并报送联合行文截止时间为2022年11月18日，过时不再受理。，其支持政策的奖补情况是2022年11月18日前报送市工业和信息化局综合规划与投资处，并扫描上传系统，线上审核同步完成。11月24日前，市工业和信息化局各条线处室完成线上审核，推送到综合规划与投资处。企业网上申报开始时间为2022年10月24日，各区（开发区）初审并报送联合行文截止时间为2022年11月18日，过时不再受理。
工业互联网平台项目的项目。,南京市的支持政策发布时间是2022年10月21日。其政策名称是关于2022年南京市工业和信息化发展专项资金项目申报的通知，其支持政策的具体内容是1、项目总投入不低于500万元，且软件投入（购置费、合作费、集成费）不少于总投入的30%，人工费用不超过总投入的20%。2、项目在2022年6月30日（含）前已建成并正常投入使用，并在项目申报截止日期前由项目推荐单位完成验收工作（须由项目推荐单位出具验收意见）。3、同等条件下，对2021年以来认定的省（含）以上重点工业互联网平台优先予以支持。其支持政策的奖补情况是项目申报采取网上申报方式进行，在南京市工业和信息化局官网或“宁企通”平台上，点击“南京市工业和信息化发展专项资金项目申报和监管平台”进入申报页面，在线填写项目申报表，并上传其他申报材料。网上申报受理时间为2022年10月25日至2022年11月10日，逾期不再受理申报。
